STATION,NAME,DATE,PRCP
USC00417628,"RIOMEDINA, TX US",1/1/39,0
USC00417628,"RIOMEDINA, TX US",1/2/39,0
USC00417628,"RIOMEDINA, TX US",1/3/39,0
USC00417628,"RIOMEDINA, TX US",1/4/39,0
USC00417628,"RIOMEDINA, TX US",1/5/39,0
USC00417628,"RIOMEDINA, TX US",1/6/39,0
USC00417628,"RIOMEDINA, TX US",1/7/39,0.21
USC00417628,"RIOMEDINA, TX US",1/8/39,0.36
USC00417628,"RIOMEDINA, TX US",1/9/39,0.08
USC00417628,"RIOMEDINA, TX US",1/10/39,0
USC00417628,"RIOMEDINA, TX US",1/11/39,0.18
USC00417628,"RIOMEDINA, TX US",1/12/39,0.5
USC00417628,"RIOMEDINA, TX US",1/13/39,0
USC00417628,"RIOMEDINA, TX US",1/14/39,0
USC00417628,"RIOMEDINA, TX US",1/15/39,0
USC00417628,"RIOMEDINA, TX US",1/16/39,0
USC00417628,"RIOMEDINA, TX US",1/17/39,0
USC00417628,"RIOMEDINA, TX US",1/18/39,0
USC00417628,"RIOMEDINA, TX US",1/19/39,0
USC00417628,"RIOMEDINA, TX US",1/20/39,0
USC00417628,"RIOMEDINA, TX US",1/21/39,0
USC00417628,"RIOMEDINA, TX US",1/22/39,0
USC00417628,"RIOMEDINA, TX US",1/23/39,0.31
USC00417628,"RIOMEDINA, TX US",1/24/39,0
USC00417628,"RIOMEDINA, TX US",1/25/39,0
USC00417628,"RIOMEDINA, TX US",1/26/39,0
USC00417628,"RIOMEDINA, TX US",1/27/39,0.17
USC00417628,"RIOMEDINA, TX US",1/28/39,0
USC00417628,"RIOMEDINA, TX US",1/29/39,0
USC00417628,"RIOMEDINA, TX US",1/30/39,0
USC00417628,"RIOMEDINA, TX US",1/31/39,0
USC00417628,"RIOMEDINA, TX US",2/1/39,0
USC00417628,"RIOMEDINA, TX US",2/2/39,0
USC00417628,"RIOMEDINA, TX US",2/3/39,0
USC00417628,"RIOMEDINA, TX US",2/4/39,0
USC00417628,"RIOMEDINA, TX US",2/5/39,0
USC00417628,"RIOMEDINA, TX US",2/6/39,0
USC00417628,"RIOMEDINA, TX US",2/7/39,0
USC00417628,"RIOMEDINA, TX US",2/8/39,0
USC00417628,"RIOMEDINA, TX US",2/9/39,0
USC00417628,"RIOMEDINA, TX US",2/10/39,0
USC00417628,"RIOMEDINA, TX US",2/11/39,0
USC00417628,"RIOMEDINA, TX US",2/12/39,0
USC00417628,"RIOMEDINA, TX US",2/13/39,0
USC00417628,"RIOMEDINA, TX US",2/14/39,0
USC00417628,"RIOMEDINA, TX US",2/15/39,0
USC00417628,"RIOMEDINA, TX US",2/16/39,0
USC00417628,"RIOMEDINA, TX US",2/17/39,0.18
USC00417628,"RIOMEDINA, TX US",2/18/39,0.18
USC00417628,"RIOMEDINA, TX US",2/19/39,0
USC00417628,"RIOMEDINA, TX US",2/20/39,0
USC00417628,"RIOMEDINA, TX US",2/21/39,0
USC00417628,"RIOMEDINA, TX US",2/22/39,0
USC00417628,"RIOMEDINA, TX US",2/23/39,0
USC00417628,"RIOMEDINA, TX US",2/24/39,0.2
USC00417628,"RIOMEDINA, TX US",2/25/39,0
USC00417628,"RIOMEDINA, TX US",2/26/39,0
USC00417628,"RIOMEDINA, TX US",2/27/39,0
USC00417628,"RIOMEDINA, TX US",2/28/39,0
USC00417628,"RIOMEDINA, TX US",3/1/39,0
USC00417628,"RIOMEDINA, TX US",3/2/39,0
USC00417628,"RIOMEDINA, TX US",3/3/39,0
USC00417628,"RIOMEDINA, TX US",3/4/39,0
USC00417628,"RIOMEDINA, TX US",3/5/39,0
USC00417628,"RIOMEDINA, TX US",3/6/39,0
USC00417628,"RIOMEDINA, TX US",3/7/39,0.18
USC00417628,"RIOMEDINA, TX US",3/8/39,0
USC00417628,"RIOMEDINA, TX US",3/9/39,0
USC00417628,"RIOMEDINA, TX US",3/10/39,0
USC00417628,"RIOMEDINA, TX US",3/11/39,0
USC00417628,"RIOMEDINA, TX US",3/12/39,0
USC00417628,"RIOMEDINA, TX US",3/13/39,0
USC00417628,"RIOMEDINA, TX US",3/14/39,0
USC00417628,"RIOMEDINA, TX US",3/15/39,0
USC00417628,"RIOMEDINA, TX US",3/16/39,0
USC00417628,"RIOMEDINA, TX US",3/17/39,0
USC00417628,"RIOMEDINA, TX US",3/18/39,0
USC00417628,"RIOMEDINA, TX US",3/19/39,0
USC00417628,"RIOMEDINA, TX US",3/20/39,0
USC00417628,"RIOMEDINA, TX US",3/21/39,0
USC00417628,"RIOMEDINA, TX US",3/22/39,0
USC00417628,"RIOMEDINA, TX US",3/23/39,0
USC00417628,"RIOMEDINA, TX US",3/24/39,0
USC00417628,"RIOMEDINA, TX US",3/25/39,0.17
USC00417628,"RIOMEDINA, TX US",3/26/39,0
USC00417628,"RIOMEDINA, TX US",3/27/39,0
USC00417628,"RIOMEDINA, TX US",3/28/39,0
USC00417628,"RIOMEDINA, TX US",3/29/39,0
USC00417628,"RIOMEDINA, TX US",3/30/39,0
USC00417628,"RIOMEDINA, TX US",3/31/39,0
USC00417628,"RIOMEDINA, TX US",4/1/39,0
USC00417628,"RIOMEDINA, TX US",4/2/39,0
USC00417628,"RIOMEDINA, TX US",4/3/39,0
USC00417628,"RIOMEDINA, TX US",4/4/39,0
USC00417628,"RIOMEDINA, TX US",4/5/39,0
USC00417628,"RIOMEDINA, TX US",4/6/39,0
USC00417628,"RIOMEDINA, TX US",4/7/39,0.05
USC00417628,"RIOMEDINA, TX US",4/8/39,0
USC00417628,"RIOMEDINA, TX US",4/9/39,0
USC00417628,"RIOMEDINA, TX US",4/10/39,0
USC00417628,"RIOMEDINA, TX US",4/11/39,0
USC00417628,"RIOMEDINA, TX US",4/12/39,0
USC00417628,"RIOMEDINA, TX US",4/13/39,0
USC00417628,"RIOMEDINA, TX US",4/14/39,0
USC00417628,"RIOMEDINA, TX US",4/15/39,0
USC00417628,"RIOMEDINA, TX US",4/16/39,0
USC00417628,"RIOMEDINA, TX US",4/17/39,0
USC00417628,"RIOMEDINA, TX US",4/18/39,0
USC00417628,"RIOMEDINA, TX US",4/19/39,0
USC00417628,"RIOMEDINA, TX US",4/20/39,0
USC00417628,"RIOMEDINA, TX US",4/21/39,0
USC00417628,"RIOMEDINA, TX US",4/22/39,0
USC00417628,"RIOMEDINA, TX US",4/23/39,0
USC00417628,"RIOMEDINA, TX US",4/24/39,0
USC00417628,"RIOMEDINA, TX US",4/25/39,0
USC00417628,"RIOMEDINA, TX US",4/26/39,0
USC00417628,"RIOMEDINA, TX US",4/27/39,0.8
USC00417628,"RIOMEDINA, TX US",4/28/39,0
USC00417628,"RIOMEDINA, TX US",4/29/39,0
USC00417628,"RIOMEDINA, TX US",4/30/39,0
USC00417628,"RIOMEDINA, TX US",5/1/39,0
USC00417628,"RIOMEDINA, TX US",5/2/39,0.31
USC00417628,"RIOMEDINA, TX US",5/3/39,0
USC00417628,"RIOMEDINA, TX US",5/4/39,0.12
USC00417628,"RIOMEDINA, TX US",5/5/39,0
USC00417628,"RIOMEDINA, TX US",5/6/39,0
USC00417628,"RIOMEDINA, TX US",5/7/39,0
USC00417628,"RIOMEDINA, TX US",5/8/39,0
USC00417628,"RIOMEDINA, TX US",5/9/39,0
USC00417628,"RIOMEDINA, TX US",5/10/39,0
USC00417628,"RIOMEDINA, TX US",5/11/39,0
USC00417628,"RIOMEDINA, TX US",5/12/39,0
USC00417628,"RIOMEDINA, TX US",5/13/39,0.15
USC00417628,"RIOMEDINA, TX US",5/14/39,0
USC00417628,"RIOMEDINA, TX US",5/15/39,0
USC00417628,"RIOMEDINA, TX US",5/16/39,0
USC00417628,"RIOMEDINA, TX US",5/17/39,0
USC00417628,"RIOMEDINA, TX US",5/18/39,0
USC00417628,"RIOMEDINA, TX US",5/19/39,0
USC00417628,"RIOMEDINA, TX US",5/20/39,0
USC00417628,"RIOMEDINA, TX US",5/21/39,0
USC00417628,"RIOMEDINA, TX US",5/22/39,0
USC00417628,"RIOMEDINA, TX US",5/23/39,0
USC00417628,"RIOMEDINA, TX US",5/24/39,0
USC00417628,"RIOMEDINA, TX US",5/25/39,0
USC00417628,"RIOMEDINA, TX US",5/26/39,0
USC00417628,"RIOMEDINA, TX US",5/27/39,0
USC00417628,"RIOMEDINA, TX US",5/28/39,0
USC00417628,"RIOMEDINA, TX US",5/29/39,0
USC00417628,"RIOMEDINA, TX US",5/30/39,0.15
USC00417628,"RIOMEDINA, TX US",5/31/39,0.28
USC00417628,"RIOMEDINA, TX US",6/1/39,0
USC00417628,"RIOMEDINA, TX US",6/2/39,0
USC00417628,"RIOMEDINA, TX US",6/3/39,0
USC00417628,"RIOMEDINA, TX US",6/4/39,0
USC00417628,"RIOMEDINA, TX US",6/5/39,0
USC00417628,"RIOMEDINA, TX US",6/6/39,0.38
USC00417628,"RIOMEDINA, TX US",6/7/39,0
USC00417628,"RIOMEDINA, TX US",6/8/39,0
USC00417628,"RIOMEDINA, TX US",6/9/39,0
USC00417628,"RIOMEDINA, TX US",6/10/39,0
USC00417628,"RIOMEDINA, TX US",6/11/39,0
USC00417628,"RIOMEDINA, TX US",6/12/39,0
USC00417628,"RIOMEDINA, TX US",6/13/39,0
USC00417628,"RIOMEDINA, TX US",6/14/39,0
USC00417628,"RIOMEDINA, TX US",6/15/39,0
USC00417628,"RIOMEDINA, TX US",6/16/39,0
USC00417628,"RIOMEDINA, TX US",6/17/39,0
USC00417628,"RIOMEDINA, TX US",6/18/39,0
USC00417628,"RIOMEDINA, TX US",6/19/39,0.21
USC00417628,"RIOMEDINA, TX US",6/20/39,0
USC00417628,"RIOMEDINA, TX US",6/21/39,0
USC00417628,"RIOMEDINA, TX US",6/22/39,0
USC00417628,"RIOMEDINA, TX US",6/23/39,0
USC00417628,"RIOMEDINA, TX US",6/24/39,0
USC00417628,"RIOMEDINA, TX US",6/25/39,0
USC00417628,"RIOMEDINA, TX US",6/26/39,0
USC00417628,"RIOMEDINA, TX US",6/27/39,0
USC00417628,"RIOMEDINA, TX US",6/28/39,0
USC00417628,"RIOMEDINA, TX US",6/29/39,0
USC00417628,"RIOMEDINA, TX US",6/30/39,0
USC00417628,"RIOMEDINA, TX US",7/1/39,0
USC00417628,"RIOMEDINA, TX US",7/2/39,0
USC00417628,"RIOMEDINA, TX US",7/3/39,0
USC00417628,"RIOMEDINA, TX US",7/4/39,0
USC00417628,"RIOMEDINA, TX US",7/5/39,0
USC00417628,"RIOMEDINA, TX US",7/6/39,0
USC00417628,"RIOMEDINA, TX US",7/7/39,0
USC00417628,"RIOMEDINA, TX US",7/8/39,0
USC00417628,"RIOMEDINA, TX US",7/9/39,0
USC00417628,"RIOMEDINA, TX US",7/10/39,0.36
USC00417628,"RIOMEDINA, TX US",7/11/39,1.25
