STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/6/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/7/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/8/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/9/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/10/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/11/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/12/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/13/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/14/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/15/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/16/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/17/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/18/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/19/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/20/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/21/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/22/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/23/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/24/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/25/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",1/26/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/4/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/5/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/6/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/7/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/8/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/19/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/20/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/21/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/22/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/23/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/24/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/25/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/26/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/27/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",2/28/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/1/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/2/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/3/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/4/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/12/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/13/09,0.05,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/14/09,0.08,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/15/09,0.05,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/24/09,,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/25/09,0.02,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/26/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/27/09,0.9,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/28/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/29/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/30/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",3/31/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",4/1/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",4/2/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",4/3/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",4/4/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",4/5/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",4/6/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",4/7/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",4/8/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",4/9/09,0,,,
US1TXMDN009,"DUNLAY 0.2 SSW, TX US",4/10/09,0,,,
