"STATION","NAME","DATE","PRCP"
"USC00416276","NEW BRAUNFELS, TX US","1894-07-01",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-02",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-03",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-04",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-05",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-06",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-07",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-08",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-09",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-10",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-11",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-12",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-13",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-14",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-15",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-16",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-17",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-18",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-19",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-20",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-21","0.35"
"USC00416276","NEW BRAUNFELS, TX US","1894-07-22",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-23",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-24","0.68"
"USC00416276","NEW BRAUNFELS, TX US","1894-07-25",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-26",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-27",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-28",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-29",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-30",
"USC00416276","NEW BRAUNFELS, TX US","1894-07-31",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-01",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-02",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-03",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-04","0.20"
"USC00416276","NEW BRAUNFELS, TX US","1894-08-05","1.70"
"USC00416276","NEW BRAUNFELS, TX US","1894-08-06",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-07","0.50"
"USC00416276","NEW BRAUNFELS, TX US","1894-08-08","1.60"
"USC00416276","NEW BRAUNFELS, TX US","1894-08-09",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-10",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-11",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-12",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-13",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-14",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-15","0.09"
"USC00416276","NEW BRAUNFELS, TX US","1894-08-16","0.17"
"USC00416276","NEW BRAUNFELS, TX US","1894-08-17",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-18",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-19",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-20",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-21",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-22","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-08-23",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-24",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-25",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-26",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-27",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-28","0.21"
"USC00416276","NEW BRAUNFELS, TX US","1894-08-29",
"USC00416276","NEW BRAUNFELS, TX US","1894-08-30","1.69"
"USC00416276","NEW BRAUNFELS, TX US","1894-08-31","1.96"
"USC00416276","NEW BRAUNFELS, TX US","1894-09-01",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-02",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-03",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-04",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-05",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-06",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-07",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-08",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-09",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-10",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-11","0.47"
"USC00416276","NEW BRAUNFELS, TX US","1894-09-12",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-13",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-14",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-15",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-16",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-17",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-18",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-19",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-20",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-21",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-22",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-23",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-24","0.16"
"USC00416276","NEW BRAUNFELS, TX US","1894-09-25","0.18"
"USC00416276","NEW BRAUNFELS, TX US","1894-09-26",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-27",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-28",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-29",
"USC00416276","NEW BRAUNFELS, TX US","1894-09-30",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-01",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-02",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-03",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-04","0.21"
"USC00416276","NEW BRAUNFELS, TX US","1894-10-05",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-06",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-07",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-08",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-09",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-10",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-11",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-12",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-13",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-14",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-15",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-16",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-17",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-18",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-19",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-20",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-21","1.70"
"USC00416276","NEW BRAUNFELS, TX US","1894-10-24",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-25",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-26",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-27",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-28","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-10-29",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-30",
"USC00416276","NEW BRAUNFELS, TX US","1894-10-31",
"USC00416276","NEW BRAUNFELS, TX US","1894-11-01","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-02","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-03","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-04","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-05","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-06","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-07","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-08","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-09","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-10","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-11","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-12","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-13","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-14","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-15","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-16","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-17","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-18","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-19","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-20","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-21","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-22","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-23","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-24","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-25","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-26","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-27","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-28","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-29","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-11-30","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-01","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-02","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-03","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-04","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-05","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-06","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-07","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-08","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-09","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-10","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-11","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-12","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-13","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-14","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-15","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-16","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-17","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-18","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-19","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-20","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-21","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-22","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-23","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-24","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-25","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-26","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-27","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-28","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-29","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-30","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1894-12-31","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1895-01-01","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1895-01-02",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-03",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-04",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-05",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-06",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-07","0.14"
"USC00416276","NEW BRAUNFELS, TX US","1895-01-08",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-09",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-10",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-11",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-12",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-13",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-14",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-15",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-16",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-17",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-18",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-19",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-20",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-21",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-22",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-23",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-24","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1895-01-25","0.38"
"USC00416276","NEW BRAUNFELS, TX US","1895-01-26",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-27","0.12"
"USC00416276","NEW BRAUNFELS, TX US","1895-01-28","0.64"
"USC00416276","NEW BRAUNFELS, TX US","1895-01-29",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-30",
"USC00416276","NEW BRAUNFELS, TX US","1895-01-31",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-01",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-02",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-03",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-04",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-05","0.47"
"USC00416276","NEW BRAUNFELS, TX US","1895-02-06",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-07",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-08",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-09",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-10","0.04"
"USC00416276","NEW BRAUNFELS, TX US","1895-02-11",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-12",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-13",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-14","0.45"
"USC00416276","NEW BRAUNFELS, TX US","1895-02-15",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-16",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-17",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-18",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-19",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-20",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-21",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-22",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-23",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-24",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-25",
"USC00416276","NEW BRAUNFELS, TX US","1895-02-26","0.00"
"USC00416276","NEW BRAUNFELS, TX US","1895-02-27","0.09"
"USC00416276","NEW BRAUNFELS, TX US","1895-02-28","1.70"
"USC00416276","NEW BRAUNFELS, TX US","1895-03-01","0.51"
"USC00416276","NEW BRAUNFELS, TX US","1895-03-02",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-03",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-04",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-05",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-06","0.09"
"USC00416276","NEW BRAUNFELS, TX US","1895-03-07","0.41"
"USC00416276","NEW BRAUNFELS, TX US","1895-03-08",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-09",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-10","0.13"
"USC00416276","NEW BRAUNFELS, TX US","1895-03-11",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-12",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-13",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-14",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-15",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-16",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-17",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-18",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-19","0.05"
"USC00416276","NEW BRAUNFELS, TX US","1895-03-20",
"USC00416276","NEW BRAUNFELS, TX US","1895-03-21",
