Texas, Palmer Drought Severity Index (PDSI)
Missing: -99,
Date,Value
189501,0.32
189502,0.95
189503,0.56
189504,0.26
189505,1.19
189506,1.94
189507,3.03
189508,3.63
189509,2.28
189510,2.21
189511,2.55
189512,2.35
189601,2.52
189602,2.63
189603,-0.2
189604,-0.23
189605,-1.59
189606,-2.68
189607,-3.15
189608,-3.71
189609,-2.71
189610,-1.87
189611,-2.01
189612,-2.06
189701,-1.78
189702,-2.33
189703,-1.83
189704,-1.77
189705,-1.7
189706,-1.64
189707,-2.08
189708,-1.59
189709,-1.92
189710,-1.99
189711,-2.61
189712,-2.43
189801,-2.41
189802,-2.58
189803,-2.38
189804,-2.22
189805,-2.7
189806,-1.97
189807,-1.87
189808,-1.64
189809,-2.06
189810,-2.4
189811,-2.21
189812,-1.85
189901,-1.79
189902,-1.98
189903,-2.38
189904,-2.23
189905,-2.89
189906,-1.85
189907,-1.43
189908,-2.28
189909,-2.63
189910,-2.43
189911,0.15
189912,0.63
190001,0.91
190002,0.68
190003,1.31
190004,2.77
190005,3.11
190006,2.93
190007,3.85
190008,4.06
190009,4.37
190010,4.12
190011,-0.36
190012,-0.81
190101,-1.54
190102,-1.66
190103,-1.84
190104,-2.04
190105,-2.42
190106,-3.59
190107,-3.71
190108,-4.08
190109,-3.75
190110,-3.91
190111,-3.92
190112,-4.05
190201,-4.32
190202,-4.56
190203,-4.36
190204,-4.67
190205,-4.83
190206,-5.69
190207,-4.4
190208,-5.13
190209,0.31
190210,0.07
190211,1.29
190212,1.28
190301,1.49
190302,2.95
190303,3.09
190304,2.39
190305,1.93
190306,2.52
190307,3.47
190308,3.43
190309,-0.31
190310,-0.48
190311,-1.31
190312,-1.74
190401,-2.27
190402,-2.82
190403,-3.54
190404,-3.62
190405,-3.36
190406,-2.97
190407,-2.99
190408,-2.94
190409,-2.25
190410,-2.09
190411,-2.43
190412,-2.43
190501,-2.51
190502,0.31
190503,1.22
190504,2.56
190505,2.65
190506,3.14
190507,4.03
190508,3.5
190509,2.77
190510,2.35
190511,2.57
190512,2.91
190601,2.39
190602,2.16
190603,1.99
190604,2.04
190605,1.64
190606,1.43
190607,2.39
190608,3.2
190609,3.03
190610,2.83
190611,2.66
190612,-0.2
190701,-0.82
190702,-1.39
190703,-2.21
190704,-2.29
190705,-1.32
190706,-1.74
190707,-1.44
190708,-1.87
190709,-2.58
190710,0.98
190711,2.38
190712,2.4
190801,2.15
190802,2.29
190803,1.64
190804,2.46
190805,3.01
190806,2.88
190807,3.51
190808,3.82
190809,-0.12
190810,-0.42
190811,-0.35
190812,-0.87
190901,-1.81
190902,-2.51
190903,-2.82
190904,-3.34
190905,-3.68
190906,-3.94
190907,-4.06
190908,-3.97
190909,-4.47
190910,-4.26
190911,-3.9
190912,-3.36
191001,-3.58
191002,-3.54
191003,-3.74
191004,-3.53
191005,-3.41
191006,-3.83
191007,-4.27
191008,-4.65
191009,-5.03
191010,-4.87
191011,-5.16
191012,-4.87
191101,-5.39
191102,-4.71
191103,-4.4
191104,-3.25
191105,-3.59
191106,-4.49
191107,-3.84
191108,-3.82
191109,-4.42
191110,-4.28
191111,-3.99
191112,1.17
191201,0.73
191202,0.91
191203,1.43
191204,1.57
191205,-0.49
191206,-0.11
191207,-0.37
191208,-0.46
191209,-1.07
191210,-1.09
191211,-1.36
191212,-0.94
191301,-1.07
191302,-0.86
191303,-0.63
191304,-0.57
191305,-1.08
191306,-0.55
191307,-0.9
191308,-1.48
191309,1.24
191310,1.89
191311,2.63
191312,3.87
191401,3.1
191402,2.87
191403,2.91
191404,3.39
191405,4.8
191406,4.49
191407,4.12
191408,5.59
191409,4.26
191410,4.22
191411,4.45
191412,4.86
191501,4.73
191502,4.52
191503,4.49
191504,5.54
191505,4.7
191506,4.22
191507,3.8
191508,4.86
191509,4.54
191510,-0.44
191511,-1.11
191512,-1.32
191601,-1.23
191602,-2.12
191603,-2.86
191604,-2.32
191605,-2.62
191606,-3.33
191607,-3.36
191608,-2.86
191609,-3.1
191610,-2.96
191611,-2.94
191612,-3.36
191701,-3.73
191702,-4.16
191703,-4.35
191704,-4.45
191705,-4.56
191706,-5.69
191707,-5.88
191708,-5.74
191709,-5.68
191710,-5.88
191711,-5.93
191712,-6.19
191801,-6.14
191802,-6.31
191803,-6.35
191804,-5.66
191805,-6.05
191806,-6.54
191807,-7.06
191808,-7.04
191809,-6.67
191810,0.28
191811,1.31
191812,2
191901,2.57
191902,2.57
191903,3.04
191904,2.98
191905,3.45
191906,4.61
191907,6.13
191908,7
191909,7.31
191910,8.22
191911,7.96
191912,7.31
192001,7.82
192002,6.7
192003,5.86
192004,4.88
192005,4.87
192006,4.81
192007,4.69
192008,6.14
192009,5.08
192010,4.76
192011,4.66
192012,-0.23
192101,-0.47
192102,-0.66
192103,-0.57
192104,-0.18
192105,-0.78
192106,1.13
192107,1.26
192108,-0.64
192109,-0.87
192110,-1.66
192111,-2.37
192112,-2.77
192201,-2.6
192202,-2.81
192203,0.65
192204,2.01
192205,2.04
192206,2.3
192207,2.13
192208,-0.7
192209,-1.34
192210,-1.51
192211,-1.26
192212,-1.99
192301,-2.36
192302,0.86
192303,1.39
192304,2.03
192305,-0.57
192306,-0.39
192307,-0.68
192308,-0.79
192309,0.37
192310,1.4
192311,1.92
192312,3.28
192401,3.32
192402,3.48
192403,3.62
192404,3.36
192405,3.51
