state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48001271895  24.53  26.04  36.77  53.08  56.35  64.69  72.09  74.28  69.40  55.02  36.77  24.84
48001271896  35.89  34.50  33.57  47.91  61.27  72.57  75.83  76.46  65.75  55.56  34.52  38.98
48001271897  28.06  29.01  33.93  45.95  64.83  70.03  77.16  74.68  71.62  54.99  42.53  26.38
48001271898  26.49  35.67  36.52  52.95  54.86  72.03  78.21  78.26  68.29  50.74  34.70  25.25
48001271899  28.17  17.65  30.76  46.94  55.04  66.40  74.77  75.02  68.43  47.23  44.31  28.60
48001271900  32.83  28.63  41.77  45.77  62.56  75.60  76.10  77.47  64.96  56.93  42.24  31.86
48001271901  28.99  26.44  34.75  45.52  60.15  65.41  80.56  73.53  63.61  53.67  43.23  26.13
48001271902  29.16  33.21  34.38  46.78  60.28  71.35  76.12  75.72  65.66  54.84  40.17  30.72
48001271903  30.07  18.75  36.10  45.70  51.73  64.51  74.75  74.75  61.88  55.17  40.84  33.26
48001271904  26.78  37.24  41.85  50.16  56.93  64.22  73.20  73.90  67.23  54.88  46.62  32.72
48001271905  26.01  23.49  41.79  43.09  51.84  69.08  71.98  74.62  68.85  47.21  40.57  28.92
48001271906  33.06  35.60  24.55  50.31  58.23  66.45  71.56  73.85  64.81  50.41  34.88  35.67
48001271907  28.92  38.61  44.47  46.00  50.59  65.14  74.80  73.90  65.39  56.79  40.17  31.10
48001271908  29.97  33.31  42.67  55.11  55.04  65.73  73.76  71.24  68.41  48.65  34.65  29.34
48001271909  31.55  30.96  35.35  42.13  53.55  69.04  77.70  77.23  66.56  56.50  41.59  18.25
48001271910  27.57  28.94  51.75  55.69  58.14  72.91  77.95  75.11  67.24  56.86  43.27  32.29
48001271911  31.89  27.39  43.00  48.45  59.97  72.16  74.07  73.67  68.20  48.67  34.29  25.36
48001271912  27.09  27.23  29.23  44.28  55.54  67.10  72.61  71.26  56.07  50.20  40.59  26.47
48001271913  26.78  22.06  33.94  50.40  60.13  69.93  74.19  77.72  62.55  47.68  42.31  21.51
48001271914  30.88  28.98  38.71  46.99  59.81  69.06  75.78  73.29  67.95  55.24  46.76  23.09
48001271915  27.16  33.84  31.82  52.45  53.74  63.50  72.01  70.21  62.24  55.96  39.65  30.94
48001271916  22.10  35.74  43.36  48.36  56.77  69.31  77.90  71.85  66.20  49.71  34.47  22.08
48001271917  22.21  29.61  29.32  41.20  48.63  67.60  77.83  71.85  67.62  51.67  45.63  33.87
48001271918  22.44  33.22  44.85  41.29  58.17  75.22  75.43  74.64  62.82  54.81  35.06  27.43
48001271919  32.13  28.29  38.34  48.11  61.11  73.60  80.40  77.29  67.95  44.82  32.65  30.15
48001271920  34.09  31.77  35.98  36.32  56.52  68.38  76.80  71.01  64.17  52.12  34.57  28.15
48001271921  30.97  34.09  44.55  46.26  58.24  69.96  76.12  74.05  67.89  59.77  42.85  33.17
48001271922  24.19  27.99  38.77  44.47  56.98  73.99  76.23  77.63  70.30  56.71  36.00  29.39
48001271923  32.52  29.21  32.61  46.63  57.65  67.93  75.87  72.32  63.37  44.31  39.24  29.59
48001271924  25.05  36.73  27.30  46.24  55.22  71.29  76.51  76.98  64.36  53.35  40.57  25.09
48001271925  26.85  36.99  43.27  52.56  61.09  67.73  76.66  71.11  64.99  45.43  37.99  29.79
48001271926  25.29  34.03  36.43  50.16  59.16  68.97  73.49  75.70  64.24  55.33  37.18  26.60
48001271927  31.01  32.31  35.49  46.18  58.89  66.97  74.82  69.71  63.09  55.89  41.31  24.28
48001271928  31.53  31.82  39.70  45.46  59.90  62.87  75.97  74.55  66.81  53.58  37.36  28.60
48001271929  25.05  22.41  35.47  43.57  55.58  69.66  77.83  76.19  60.04  52.77  30.65  34.39
48001271930  18.28  37.58  35.87  56.07  55.49  71.13  78.35  72.07  64.87  50.65  39.67  29.64
48001271931  32.00  36.70  35.46  48.34  56.32  74.23  81.34  75.51  69.30  54.28  36.48  31.89
48001271932  22.80  35.26  30.96  48.88  60.46  69.40  79.57  77.49  68.16  51.76  41.76  21.24
48001271933  29.88  24.96  41.11  44.74  55.09  75.90  80.78  73.87  69.73  60.39  44.47  38.46
48001271934  34.52  37.85  44.44  53.11  68.88  73.22  81.97  78.21  64.62  60.10  42.28  31.37
48001271935  35.62  38.25  40.12  44.91  49.42  69.51  80.01  77.74  67.82  54.57  37.02  31.82
48001271936  27.10  25.74  39.49  50.27  65.16  74.89  82.09  76.80  66.81  51.80  39.69  30.88
48001271937  17.74  30.83  36.27  46.42  60.37  67.96  76.95  79.39  69.49  55.94  38.41  30.99
48001271938  30.79  34.52  40.24  50.22  55.98  70.14  77.05  77.02  67.75  57.99  32.99  30.42
48001271939  30.16  23.29  41.25  51.96  63.99  69.42  82.08  77.23  69.64  56.12  47.44  39.24
48001271940  23.83  32.99  42.44  48.74  62.38  74.97  80.42  77.23  68.45  58.03  36.19  34.70
48001271941  33.24  37.27  37.49  45.88  62.42  67.41  77.11  73.87  62.78  51.89  42.33  34.52
48001271942  27.59  25.99  36.23  52.65  56.28  67.48  78.60  76.86  64.87  54.14  41.83  33.69
48001271943  31.89  39.43  35.85  56.57  55.38  67.80  79.74  78.37  69.55  58.86  41.54  33.51
48001271944  29.75  31.91  31.87  44.53  60.51  68.20  76.57  78.64  69.28  59.00  39.96  30.69
48001271945  29.82  31.82  39.33  40.95  58.57  63.10  77.18  75.81  64.29  58.23  40.64  28.08
48001271946  31.30  35.19  44.74  57.02  52.72  71.85  79.38  76.17  67.82  48.78  36.95  35.26
48001271947  29.21  30.51  37.08  47.01  59.43  63.10  78.44  77.54  69.80  59.65  31.26  30.87
48001271948  26.87  29.01  32.72  52.21  62.71  70.12  78.73  77.65  71.67  56.23  32.63  28.53
48001271949  18.72  27.88  39.07  53.28  58.32  66.97  77.76  77.36  68.41  50.86  50.31  31.64
48001271950  28.63  38.46  38.26  48.47  54.01  70.45  72.75  74.26  63.52  63.07  40.73  37.26
48001271951  26.35  35.69  37.13  45.10  58.80  62.96  77.88  74.08  65.53  50.90  36.93  27.91
48001271952  29.61  31.96  31.89  51.03  59.36  75.11  77.94  76.08  71.51  60.58  34.48  31.30
48001271953  36.27  30.99  43.36  44.28  53.91  73.27  79.84  75.47  70.97  57.79  44.02  30.34
48001271954  35.58  43.25  34.56  54.28  60.51  72.07  82.42  77.22  69.85  55.15  45.88  33.48
48001271955  27.57  26.67  34.25  50.68  61.30  65.91  80.42  77.22  69.01  57.31  34.95  33.76
48001271956  33.39  26.19  38.88  48.15  62.31  77.31  75.96  72.88  71.96  59.04  34.68  32.77
48001271957  24.40  38.44  38.64  43.38  53.78  67.66  76.98  75.76  64.69  53.10  32.68  36.21
48001271958  32.27  38.48  31.41  44.04  64.09  71.53  73.85  77.56  68.34  58.23  42.35  34.09
48001271959  30.81  31.30  36.34  47.80  56.82  74.80  77.68  76.89  62.74  50.18  39.67  37.87
48001271960  28.20  24.76  40.05  52.34  60.87  71.65  79.38  77.38  69.53  54.77  38.71  30.65
48001271961  32.61  35.80  39.78  45.79  59.76  72.45  76.60  77.13  58.44  52.61  35.22  26.60
48001271962  23.74  32.27  33.87  53.15  60.89  67.87  75.15  76.80  67.50  58.42  45.07  36.01
48001271963  22.93  37.45  39.13  48.79  63.99  72.05  80.29  75.45  71.71  62.29  45.66  31.55
48001271964  27.46  25.99  31.26  45.07  60.62  67.46  82.69  74.77  67.87  58.23  39.02  30.00
48001271965  33.17  30.67  28.96  49.82  56.48  66.51  75.92  73.54  56.12  59.97  45.14  35.08
48001271966  28.29  29.43  43.88  47.66  64.22  69.94  81.59  74.75  67.86  53.46  44.08  31.60
48001271967  30.81  31.95  43.54  50.63  53.67  63.93  75.94  75.67  65.95  56.39  39.76  24.78
48001271968  31.30  33.49  41.72  42.22  54.64  70.45  76.60  72.03  65.03  56.48  36.90  29.75
48001271969  34.57  33.78  31.68  53.38  64.40  62.92  79.39  79.48  70.12  41.18  39.27  34.23
48001271970  29.61  38.79  33.33  41.09  61.41  68.83  77.61  79.27  63.41  47.41  38.01  32.34
48001271971  30.31  30.00  36.55  48.13  55.44  72.23  75.76  78.01  62.44  52.07  39.33  30.56
48001271972  28.44  36.12  46.92  49.66  59.25  71.26  75.43  74.05  64.96  51.76  32.20  25.34
48001271973  26.02  30.67  34.52  39.81  57.85  70.00  73.98  76.28  62.24  57.51  37.92  32.58
48001271974  26.04  32.16  41.90  47.59  62.98  73.38  78.03  74.21  64.31  56.14  40.10  30.07
48001271975  28.99  30.04  36.32  44.22  55.96  67.05  77.88  76.14  65.93  56.84  39.52  34.63
48001271976  29.37  36.61  37.98  49.86  60.73  70.20  79.41  75.29  67.39  53.67  40.98  35.15
48001271977  28.63  38.01  37.78  51.75  61.16  76.21  77.68  73.58  70.52  57.61  41.04  34.77
48001271978  28.47  31.01  42.98  50.14  55.83  71.13  78.85  74.21  68.83  56.82  38.97  23.02
48001271979  19.17  31.32  38.68  49.77  56.34  70.54  79.14  73.18  72.27  57.04  30.67  36.01
48001271980  27.25  32.77  35.82  46.90  56.89  75.29  79.74  75.25  68.74  53.89  41.20  43.00
48001271981  39.74  37.90  41.90  56.82  54.30  72.82  77.81  74.95  70.70  51.94  46.47  33.60
48001271982  29.66  33.73  41.68  47.97  56.12  66.56  77.65  79.20  64.06  50.85  36.14  31.12
48001271983  35.94  36.93  36.73  40.21  53.02  66.09  77.32  78.73  69.94  57.11  38.41  21.85
48001271984  27.41  30.76  35.15  40.24  61.77  70.00  78.39  75.76  64.26  47.59  41.95  31.84
48001271985  24.91  28.60  41.63  52.97  62.71  71.78  77.59  77.81  62.04  53.96  32.59  28.74
48001271986  37.80  34.05  48.43  49.75  58.89  74.30  76.14  76.42  62.26  51.82  38.55  33.58
48001271987  31.46  35.71  38.89  56.03  61.81  72.73  77.86  73.67  68.36  58.26  40.01  29.46
48001271988  25.38  33.12  35.83  53.73  61.61  78.10  80.08  78.64  66.49  60.35  38.64  31.80
48001271989  33.10  23.56  45.10  52.59  61.56  69.51  81.03  75.51  67.26  54.36  42.13  30.36
48001271990  33.78  32.90  40.59  51.10  58.64  74.68  74.70  75.94  70.81  54.32  42.76  26.49
48001271991  28.78  40.62  41.47  47.32  59.34  71.20  76.55  76.21  67.33  56.26  35.22  34.97
48001271992  32.97  38.82  44.91  56.14  63.30  68.63  72.70  73.76  68.77  58.82  32.86  28.33
48001271993  30.72  28.63  40.10  47.32  61.29  66.87  74.70  74.25  63.93  51.93  33.96  32.05
48001271994  32.81  32.67  45.32  50.85  65.75  76.41  78.17  78.96  70.30  53.19  38.53  36.36
48001271995  32.43  38.97  42.67  46.78  51.33  66.72  75.69  80.55  65.52  52.66  43.45  36.48
48001271996  29.37  36.81  40.96  50.20  59.83  73.96  79.11  78.03  64.96  54.25  41.04  31.96
48001271997  29.79  31.91  46.02  43.61  60.80  71.76  77.61  74.55  67.69  55.04  37.65  30.99
48001271998  34.56  35.46  39.27  49.17  62.83  64.51  79.14  77.09  73.53  54.16  43.52  31.35
48001271999  33.73  37.20  46.92  44.22  57.25  68.97  79.00  76.32  63.86  59.67  52.20  33.44
48001272000  33.55  39.40  43.21  54.25  63.82  72.68  82.60  81.14  68.18  55.74  29.82  29.64
48001272001  30.20  32.22  40.55  51.03  61.63  74.68  82.26  79.43  72.05  56.14  45.37  32.68
48001272002  30.51  34.52  36.19  53.56  61.18  77.88  83.88  77.11  67.77  49.12  38.17  34.66
48001272003  39.33  30.60  40.57  52.52  61.88  66.78  84.42  79.72  65.66  62.15  35.67  34.63
48001272004  33.58  33.06  49.03  52.23  62.67  68.61  76.62  72.59  66.09  54.21  40.33  34.34
48001272005  37.17  37.58  41.52  51.40  59.79  69.60  82.80  76.14  71.60  57.52  42.75  31.14
48001272006  35.94  31.91  40.77  55.92  64.54  78.19  81.50  76.84  62.19  50.68  43.65  33.44
48001272007  25.97  35.28  47.68  50.99  61.92  74.37  81.70  78.80  67.95  56.86  45.79  28.00
48001272008  27.39  32.63  38.59  47.95  57.22  69.31  81.12  76.19  66.29  56.64  45.28  31.73
48001272009  34.41  37.36  43.88  47.55  61.07  66.72  75.78  75.27  69.51  45.14  44.73  24.67
48001272010  32.97  30.02  41.43  48.56  54.93  70.61  77.94  77.27  73.18  58.51  39.85  34.77
48001272011  29.37  29.16  42.46  47.05  53.29  70.97  79.75  81.19  69.31  55.33  40.41  31.35
48001272012  36.54  32.02  51.93  57.36  63.91  79.59  81.93  80.22  71.20  53.69  48.36  33.24
48001272013  31.37  31.87  42.24  44.04  61.12  76.62  79.52  79.11  68.27  49.68  43.16  30.02
48001272014  32.97  32.92  43.52  50.18  59.59  69.98  78.39  73.76  69.49  59.81  39.49  35.35
48001272015  36.72  37.83  49.14  51.37  55.06  75.09  75.67  77.67  73.63  60.58  40.28  31.46
48001272016  31.33  38.37  42.73  48.96  57.15  77.31  80.42  76.08  69.10  60.94  48.96  30.88
48001272017  28.76  38.95  48.90  50.99  59.14  73.08  80.94  74.70  66.61  53.42  47.77  36.34
48001272018  37.83  32.95  44.04  52.50  64.31  75.61  79.59  76.41  73.58  52.12  37.11  31.53
48001272019  32.11  32.38  37.20  51.17  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
48003271895  23.13  26.92  39.18  62.82  64.06  66.96  78.53  79.47  68.00  58.15  42.15  29.30
48003271896  29.86  42.71  38.97  53.29  59.86  80.73  81.01  78.39  61.52  58.10  22.03  45.00
48003271897  36.97  34.18  30.27  52.95  68.13  69.57  75.27  76.66  71.67  50.81  33.60  23.85
48003271898  19.51  36.46  33.87  54.99  56.28  71.51  78.15  78.01  65.57  47.41  33.82  23.95
48003271899  27.50  13.77  27.39  51.93  60.93  73.11  83.43  78.80  69.85  49.41  44.74  27.10
48003271900  27.03  25.47  41.49  52.47  68.27  81.00  83.80  79.81  65.59  56.79  35.47  35.38
48003271901  28.74  27.81  42.12  54.95  70.48  67.10  86.13  79.99  63.28  59.02  46.40  26.31
48003271902  23.41  32.22  40.15  52.03  66.43  71.74  79.66  78.55  66.97  57.96  39.67  29.86
48003271903  31.80  25.99  41.09  52.81  60.30  74.30  79.92  78.12  62.89  57.87  39.00  31.91
48003271904  28.72  35.89  41.32  56.03  62.33  71.62  78.85  79.36  71.10  59.67  47.07  32.97
48003271905  24.44  28.13  48.65  53.40  58.44  70.29  80.37  81.21  74.46  50.31  41.54  29.88
48003271906  30.52  33.22  29.55  57.65  61.59  70.39  81.79  77.36  71.53  56.44  37.90  33.40
48003271907  17.74  34.81  45.63  50.20  55.85  67.15  79.56  78.84  65.89  61.88  42.80  34.20
