state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48001281895   4.12   3.76  14.31  24.76  31.78  37.51  43.61  44.89  34.93  26.02  13.57   5.81
48001281896  12.74  10.45  12.36  23.58  32.86  42.69  45.93  43.09  34.70  25.16   8.82  15.31
48001281897   2.52   7.70  12.04  23.22  34.74  40.28  44.53  43.81  40.08  28.33  19.26   2.53
48001281898   5.43  13.01  11.59  24.30  32.76  39.04  47.41  45.99  33.69  24.01  12.02   1.45
48001281899   9.00  -4.99  12.06  24.39  30.52  39.06  44.44  42.91  35.15  25.56  21.45   6.64
48001281900  12.49   7.12  18.86  23.41  34.72  43.97  45.12  44.33  36.86  29.35  20.43  14.14
48001281901  10.54   4.46  15.26  23.22  35.92  40.12  50.34  47.55  33.73  28.17  20.03   8.15
48001281902   6.82  14.92  15.62  22.71  33.04  40.73  43.63  43.23  33.46  28.71  16.81  11.14
48001281903  11.52  -2.02  13.73  23.90  30.24  39.58  45.73  45.12  33.85  27.09  18.88  12.63
48001281904   7.52  14.94  16.92  24.39  33.28  39.22  43.65  43.99  35.15  27.64  17.85  13.23
48001281905   9.93   1.51  22.37  23.50  32.36  41.92  44.04  44.80  35.20  22.84  18.54   7.86
48001281906  10.81  11.93   9.32  26.74  32.99  38.84  44.33  44.42  37.62  27.05  16.36  18.12
48001281907   9.39  17.91  22.71  22.15  29.41  38.26  46.08  44.91  36.03  27.43  14.11  10.49
48001281908   8.73   9.09  17.65  24.91  30.34  39.92  45.32  44.31  35.26  25.93  12.40  10.27
48001281909  11.91  10.02  16.57  20.77  29.50  41.70  47.43  47.21  36.41  26.87  21.63   0.97
48001281910  10.49   7.38  24.13  26.91  32.83  42.35  47.23  43.92  37.81  28.60  24.35  13.05
48001281911  14.67   9.32  22.84  23.63  32.94  43.57  45.09  42.93  38.52  24.62  15.40   6.94
48001281912   9.86  10.17   9.23  23.67  31.05  39.20  46.40  43.77  32.07  26.65  18.93   6.73
48001281913   5.14   1.80  14.50  25.21  34.30  42.26  45.23  45.25  34.14  26.87  23.65   1.06
48001281914  14.61   8.76  17.65  26.74  34.68  42.10  47.37  45.01  36.54  30.27  21.47   2.28
