state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48001021895  14.32  14.90  25.52  38.91  44.08  51.10  57.85  59.59  52.18  40.53  25.16  15.31
48001021896  24.30  22.48  22.96  35.74  47.07  57.65  60.89  59.77  50.23  40.37  21.67  27.14
48001021897  15.28  18.36  22.98  34.59  49.78  55.17  60.85  59.25  55.85  41.67  30.88  14.45
48001021898  15.94  24.35  24.04  38.62  43.81  55.54  62.82  62.13  51.01  37.36  23.36  13.35
48001021899  18.57   6.33  21.42  35.65  42.78  52.74  59.61  58.96  51.80  36.39  32.90  17.62
48001021900  22.66  17.87  30.31  34.59  48.63  59.79  60.62  60.91  50.92  43.14  31.33  23.00
48001021901  19.76  15.44  25.00  34.38  48.04  52.77  65.46  60.55  48.69  40.93  31.62  17.13
48001021902  17.98  24.06  25.00  34.75  46.67  56.03  59.88  59.49  49.57  41.77  28.49  20.93
48001021903  20.79   8.37  24.91  34.81  41.00  52.05  60.24  59.95  47.86  41.13  29.86  22.93
48001021904  17.15  26.10  29.37  37.27  45.10  51.73  58.44  58.95  51.19  41.27  32.23  22.96
48001021905  17.96  12.49  32.09  33.30  42.10  55.51  58.01  59.70  52.03  35.02  29.55  18.39
48001021906  21.94  23.76  16.93  38.53  45.61  52.65  57.96  59.13  51.22  38.73  25.61  26.89
48001021907  19.15  28.26  33.60  34.09  40.01  51.69  60.44  59.41  50.70  42.12  27.14  20.79
48001021908  19.35  21.20  30.16  40.01  42.69  52.84  59.54  57.78  51.84  37.29  23.52  19.80
48001021909  21.72  20.48  25.95  31.44  41.52  55.38  62.58  62.24  51.49  41.68  31.62   9.61
48001021910  19.02  18.16  37.94  41.31  45.48  57.63  62.60  59.52  52.54  42.73  33.82  22.66
48001021911  23.27  18.36  32.92  36.03  46.45  57.87  59.58  58.30  53.37  36.64  24.84  16.16
48001021912  18.46  18.70  19.22  33.98  43.29  53.15  59.50  57.52  44.08  38.43  29.75  16.59
48001021913  15.96  11.93  24.22  37.81  47.23  56.10  59.72  61.48  48.34  37.27  32.99  11.28
48001021914  22.73  18.86  28.18  36.88  47.25  55.58  61.57  59.16  52.25  42.75  34.12  12.69
48001021915  17.15  23.88  22.78  41.56  42.31  50.56  57.65  56.07  49.10  42.87  30.45  20.97
48001021916  12.29  24.84  32.95  36.21  43.54  53.83  62.92  58.15  50.25  38.30  23.92  13.66
48001021917  13.95  20.57  19.69  31.33  38.88  52.70  62.85  56.75  52.23  37.83  34.27  24.37
48001021918  12.79  22.32  33.35  31.03  44.89  60.04  60.85  59.40  48.99  42.98  23.56  19.35
48001021919  22.32  18.99  27.81  36.70  46.71  57.11  65.03  61.57  54.10  34.27  23.34  20.16
48001021920  24.19  21.45  25.50  26.83  45.03  54.55  61.09  57.04  49.73  40.14  24.82  19.38
48001021921  21.36  23.74  33.13  34.09  46.15  56.41  61.57  59.81  52.12  45.19  31.48  23.92
48001021922  14.14  17.78  27.19  33.67  45.16  57.92  60.64  63.03  54.05  41.83  25.54  21.45
48001021923  23.86  17.24  21.33  34.52  45.32  54.01  61.99  58.75  49.26  33.76  28.92  18.25
48001021924  15.55  25.79  17.55  34.34  42.06  55.35  60.42  60.13  49.41  41.61  30.27  15.33
48001021925  18.14  27.81  31.84  40.05  48.02  54.37  62.33  57.76  51.46  33.80  28.18  20.25
48001021926  16.66  25.41  25.92  37.81  47.46  54.91  59.85  60.15  49.01  42.84  29.77  18.27
48001021927  21.27  22.69  25.56  35.38  45.86  54.23  60.22  56.32  49.86  42.17  32.68  14.14
48001021928  22.98  20.52  28.40  33.06  47.46  50.14  60.37  58.51  50.99  41.52  28.26  18.52
48001021929  15.28  12.43  25.81  33.51  43.07  54.43  62.91  61.99  47.48  40.35  20.28  24.40
48001021930   7.25  28.29  24.66  42.94  43.20  55.20  63.12  59.74  50.05  38.84  28.36  18.84
48001021931  21.83  25.97  23.99  35.92  43.43  59.49  65.08  59.95  54.70  42.15  25.43  21.09
48001021932  12.52  25.25  20.17  37.13  47.21  54.97  64.27  61.99  51.48  38.26  31.23  11.43
48001021933  21.31  13.68  29.93  32.95  43.05  60.62  65.37  59.20  55.18  45.88  33.33  29.75
48001021934  25.03  26.89  32.88  40.10  54.00  57.29  66.00  62.44  48.70  46.36  31.32  22.05
48001021935  25.29  25.83  28.81  34.38  39.94  55.06  64.40  62.49  52.27  40.50  27.66  21.54
48001021936  17.49  14.34  28.45  37.42  50.63  60.04  66.60  62.17  51.03  39.42  28.60  23.00
48001021937   7.84  20.70  25.90  35.17  47.62  54.30  63.01  63.73  53.76  43.30  28.13  22.35
48001021938  21.43  23.92  30.78  37.72  44.73  56.43  61.61  62.40  53.80  44.78  24.06  21.51
48001021939  21.70  12.94  29.93  39.09  49.62  54.88  64.81  60.60  54.45  43.43  32.52  28.99
48001021940  14.74  24.26  31.82  37.17  48.45  59.02  65.07  61.56  54.93  45.00  25.41  24.93
48001021941  22.75  26.11  27.37  35.42  49.75  54.37  62.37  60.01  48.70  40.19  31.39  23.81
48001021942  16.27  15.75  24.96  39.88  43.68  53.85  63.21  61.70  49.86  41.63  30.58  24.48
48001021943  21.15  27.75  23.38  43.66  43.52  54.00  63.63  63.39  51.91  43.18  30.06  22.48
48001021944  18.64  20.97  22.51  33.57  47.08  54.07  61.02  62.06  51.87  43.92  28.87  18.86
48001021945  20.28  22.05  28.53  30.16  46.11  50.68  62.29  61.14  48.87  43.92  30.94  18.84
48001021946  21.09  24.53  33.17  44.04  41.76  56.95  63.97  61.41  52.27  38.39  27.50  26.60
48001021947  19.51  20.23  26.17  35.62  46.99  51.15  63.48  62.69  54.52  46.60  22.23  21.72
48001021948  16.43  17.82  22.35  39.52  48.65  56.71  62.89  62.01  55.90  41.23  23.88  19.42
48001021949   7.57  18.01  28.98  39.92  46.74  54.88  62.58  61.11  52.54  39.09  37.96  21.45
48001021950  18.48  27.52  26.89  35.67  41.43  54.63  58.55  57.60  50.05  47.21  30.27  27.43
48001021951  16.56  24.33  25.20  33.49  46.69  49.73  62.38  59.63  50.05  39.36  26.49  18.66
48001021952  20.48  21.51  21.63  38.08  46.76  59.43  62.35  61.54  53.85  43.81  22.46  22.42
48001021953  28.15  20.91  31.62  32.56  42.57  58.14  65.10  61.20  54.48  42.94  33.19  20.14
48001021954  25.84  31.41  23.36  40.98  46.78  56.84  67.03  61.16  54.79  42.31  33.60  23.11
48001021955  18.25  16.72  23.20  36.79  47.21  53.15  64.04  63.39  53.49  43.18  25.25  25.32
