,year,county_name,dtype,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
5250,1895,Bexar,max,24.96,27.88,35.51,55.49,57.78,61.16,71.82,72.84,60.75,53.69,35.69,26.87
5251,1896,Bexar,max,31.26,37.78,34.07,44.98,50.85,72.19,73.76,72.12,57.15,52.2,23.4,37.27
5252,1897,Bexar,max,29.66,29.64,28.72,47.17,64.49,63.23,70.12,72.63,66.13,47.19,33.24,24.42
5253,1898,Bexar,max,20.93,36.0,30.72,50.59,51.98,65.82,73.15,73.62,62.11,43.14,31.19,24.42
5254,1899,Bexar,max,26.47,18.82,28.9,45.72,52.93,65.16,76.28,71.04,65.61,47.19,41.25,27.46
5255,1900,Bexar,max,29.62,26.64,41.02,48.87,61.36,74.52,75.25,72.32,59.76,50.79,34.25,32.45
5256,1901,Bexar,max,25.99,26.64,36.81,47.01,63.34,60.62,80.78,74.82,57.11,55.06,42.8,26.47
5257,1902,Bexar,max,24.1,32.92,35.6,46.58,59.85,65.82,71.6,73.04,62.47,52.97,36.32,30.63
5258,1903,Bexar,max,31.71,25.72,38.28,47.14,54.64,68.36,72.46,73.51,59.13,55.36,38.53,31.78
5259,1904,Bexar,max,28.78,33.4,35.85,51.37,57.79,66.16,73.24,74.07,66.18,54.75,47.01,31.98
5260,1905,Bexar,max,27.28,27.88,42.89,47.57,51.08,64.08,75.61,76.03,67.98,45.64,39.56,27.63
5261,1906,Bexar,max,29.93,33.76,31.44,51.4,55.35,63.18,76.39,71.71,66.27,51.6,34.95,33.17
5262,1907,Bexar,max,17.91,36.86,38.32,44.83,51.4,60.62,72.32,71.06,61.18,55.71,37.35,29.21
5263,1908,Bexar,max,30.29,33.82,35.96,52.45,52.43,59.58,75.34,68.47,64.62,45.3,37.18,24.75
5264,1909,Bexar,max,24.96,30.13,36.48,40.53,52.16,65.91,75.29,75.47,60.98,51.04,37.13,16.41
5265,1910,Bexar,max,21.45,24.12,49.44,56.46,57.65,69.49,77.09,71.56,61.93,53.83,35.82,29.03
5266,1911,Bexar,max,25.74,26.6,44.13,44.94,55.02,67.77,71.69,68.95,60.67,45.09,29.37,24.55
5267,1912,Bexar,max,25.3,31.3,29.16,45.46,53.28,66.67,69.24,66.38,50.4,44.28,38.62,28.63
5268,1913,Bexar,max,23.83,21.88,31.91,50.23,55.31,65.46,69.51,73.11,62.26,43.74,38.59,29.19
5269,1914,Bexar,max,31.8,29.95,41.59,46.87,59.13,64.62,74.32,72.54,63.59,51.1,43.72,22.86
5270,1915,Bexar,max,26.56,36.37,38.52,55.35,52.57,59.63,68.0,72.86,56.39,54.14,35.85,28.02
5271,1916,Bexar,max,12.27,31.8,41.09,47.17,49.33,62.91,76.55,70.99,62.4,43.75,31.44,17.44
5272,1917,Bexar,max,20.01,25.88,26.58,39.7,49.86,63.77,78.42,70.75,62.47,48.2,43.86,29.93
5273,1918,Bexar,max,22.57,27.36,43.07,39.58,52.57,70.95,70.41,69.28,59.27,51.71,33.69,29.84
5274,1919,Bexar,max,31.66,28.45,39.61,49.6,60.82,75.22,79.2,75.33,62.8,38.46,30.43,21.52
5275,1920,Bexar,max,29.53,31.55,33.87,38.3,53.49,63.91,75.16,72.12,61.77,46.6,31.82,26.73
5276,1921,Bexar,max,30.38,35.08,38.89,44.74,54.45,70.39,77.61,73.63,58.37,56.03,36.82,27.19
5277,1922,Bexar,max,18.34,21.92,36.39,42.6,54.72,71.46,73.4,75.04,67.71,54.16,32.59,23.72
5278,1923,Bexar,max,29.57,27.3,33.84,45.03,56.17,64.31,76.5,69.85,63.23,41.45,38.8,25.7
5279,1924,Bexar,max,21.13,35.67,29.05,43.88,56.32,64.02,73.38,72.82,61.45,47.3,35.37,18.28
5280,1925,Bexar,max,26.46,34.84,40.57,48.15,57.76,63.28,75.67,70.92,60.39,39.22,33.66,31.44
5281,1926,Bexar,max,26.96,34.65,37.15,51.31,57.33,67.24,74.62,70.41,55.13,50.38,37.71,26.46
5282,1927,Bexar,max,25.47,31.59,37.22,42.94,49.33,64.29,73.47,66.25,59.05,52.0,36.21,18.86
