,date,max_temp,min_temp,avg_temp
0,1895-01-01,24.96,4.48,14.72
1,1895-02-01,27.88,2.25,15.06
2,1895-03-01,35.51,11.12,23.31
3,1895-04-01,55.49,26.22,40.86
4,1895-05-01,57.78,31.86,44.82
5,1895-06-01,61.16,36.25,48.7
6,1895-07-01,71.82,43.02,57.42
7,1895-08-01,72.84,43.54,58.19
8,1895-09-01,60.75,34.5,47.62
9,1895-10-01,53.69,27.12,40.41
10,1895-11-01,35.69,14.4,25.03
11,1895-12-01,26.87,8.44,17.65
12,1896-01-01,31.26,9.57,20.41
13,1896-02-01,37.78,15.15,26.46
14,1896-03-01,34.07,10.71,22.39
15,1896-04-01,44.98,21.54,33.26
16,1896-05-01,50.85,30.85,40.86
17,1896-06-01,72.19,39.7,55.96
18,1896-07-01,73.76,47.86,60.82
19,1896-08-01,72.12,43.92,58.03
20,1896-09-01,57.15,35.47,46.31
21,1896-10-01,52.2,26.83,39.51
22,1896-11-01,23.4,5.58,14.47
23,1896-12-01,37.27,19.53,28.4
24,1897-01-01,29.66,5.09,17.37
25,1897-02-01,29.64,8.69,19.17
26,1897-03-01,28.72,6.06,17.38
27,1897-04-01,47.17,25.11,36.14
28,1897-05-01,64.49,36.23,50.36
29,1897-06-01,63.23,39.56,51.4
30,1897-07-01,70.12,42.84,56.5
31,1897-08-01,72.63,44.62,58.62
32,1897-09-01,66.13,38.66,52.39
33,1897-10-01,47.19,29.03,38.12
34,1897-11-01,33.24,15.89,24.57
35,1897-12-01,24.42,9.84,17.13
36,1898-01-01,20.93,4.26,12.6
37,1898-02-01,36.0,13.21,24.6
38,1898-03-01,30.72,6.35,18.54
39,1898-04-01,50.59,25.09,37.85
40,1898-05-01,51.98,32.56,42.28
41,1898-06-01,65.82,39.27,52.56
42,1898-07-01,73.15,43.79,58.48
43,1898-08-01,73.62,46.65,60.13
44,1898-09-01,62.11,33.98,48.04
45,1898-10-01,43.14,23.99,33.57
46,1898-11-01,31.19,12.18,21.69
47,1898-12-01,24.42,4.12,14.27
48,1899-01-01,26.47,6.91,16.68
49,1899-02-01,18.82,-6.48,6.17
50,1899-03-01,28.9,6.21,17.55
51,1899-04-01,45.72,22.41,34.07
52,1899-05-01,52.93,29.28,41.13
53,1899-06-01,65.16,37.22,51.21
54,1899-07-01,76.28,43.29,59.79
55,1899-08-01,71.04,39.43,55.24
56,1899-09-01,65.61,35.69,50.65
57,1899-10-01,47.19,24.55,35.87
58,1899-11-01,41.25,21.36,31.3
59,1899-12-01,27.46,8.02,17.74
60,1900-01-01,29.62,12.15,20.88
61,1900-02-01,26.64,4.15,15.39
62,1900-03-01,41.02,17.96,29.5
63,1900-04-01,48.87,27.37,38.12
64,1900-05-01,61.36,34.79,48.07
65,1900-06-01,74.52,42.84,58.68
66,1900-07-01,75.25,42.93,59.09
67,1900-08-01,72.32,42.94,57.63
68,1900-09-01,59.76,35.06,47.41
69,1900-10-01,50.79,27.86,39.33
70,1900-11-01,34.25,13.95,24.1
71,1900-12-01,32.45,15.53,23.99
72,1901-01-01,25.99,9.72,17.85
73,1901-02-01,26.64,4.37,15.49
74,1901-03-01,36.81,15.66,26.22
75,1901-04-01,47.01,23.59,35.29
76,1901-05-01,63.34,38.35,50.85
77,1901-06-01,60.62,37.09,48.87
78,1901-07-01,80.78,48.65,64.72
79,1901-08-01,74.82,46.99,60.93
80,1901-09-01,57.11,33.89,45.5
81,1901-10-01,55.06,30.99,43.03
82,1901-11-01,42.8,21.38,32.09
83,1901-12-01,26.47,12.15,19.31
84,1902-01-01,24.1,5.94,15.01
85,1902-02-01,32.92,12.97,22.95
86,1902-03-01,35.6,14.74,25.16
87,1902-04-01,46.58,23.2,34.88
88,1902-05-01,59.85,34.97,47.41
89,1902-06-01,65.82,38.71,52.27
90,1902-07-01,71.6,43.27,57.43
91,1902-08-01,73.04,43.23,58.15
92,1902-09-01,62.47,34.63,48.56
93,1902-10-01,52.97,27.93,40.46
94,1902-11-01,36.32,17.26,26.78
95,1902-12-01,30.63,8.98,19.8
96,1903-01-01,31.71,10.2,20.95
97,1903-02-01,25.72,-1.26,12.22
98,1903-03-01,38.28,11.12,24.69
99,1903-04-01,47.14,21.09,34.12
100,1903-05-01,54.64,29.64,42.15
101,1903-06-01,68.36,39.7,54.03
102,1903-07-01,72.46,42.49,57.49
103,1903-08-01,73.51,43.29,58.41
104,1903-09-01,59.13,32.77,45.95
105,1903-10-01,55.36,28.42,41.9
106,1903-11-01,38.53,15.28,26.91
107,1903-12-01,31.78,12.65,22.23
108,1904-01-01,28.78,9.25,19.0
109,1904-02-01,33.4,11.53,22.46
110,1904-03-01,35.85,17.85,26.85
111,1904-04-01,51.37,25.74,38.55
112,1904-05-01,57.79,33.13,45.46
113,1904-06-01,66.16,37.42,51.8
114,1904-07-01,73.24,43.95,58.6
115,1904-08-01,74.07,44.67,59.38
116,1904-09-01,66.18,36.61,51.4
117,1904-10-01,54.75,30.47,42.62
118,1904-11-01,47.01,21.43,34.23
119,1904-12-01,31.98,13.78,22.87
120,1905-01-01,27.28,12.94,20.1
121,1905-02-01,27.88,3.63,15.75
122,1905-03-01,42.89,21.34,32.13
123,1905-04-01,47.57,24.57,36.07
124,1905-05-01,51.08,31.24,41.16
125,1905-06-01,64.08,38.59,51.33
126,1905-07-01,75.61,46.18,60.91
127,1905-08-01,76.03,47.8,61.92
128,1905-09-01,67.98,38.41,53.2
129,1905-10-01,45.64,25.12,35.38
130,1905-11-01,39.56,18.27,28.9
131,1905-12-01,27.63,10.53,19.08
132,1906-01-01,29.93,10.89,20.41
133,1906-02-01,33.76,11.19,22.48
134,1906-03-01,31.44,7.95,19.69
135,1906-04-01,51.4,24.53,37.96
136,1906-05-01,55.35,31.93,43.63
137,1906-06-01,63.18,37.87,50.52
138,1906-07-01,76.39,45.63,61.02
139,1906-08-01,71.71,45.48,58.59
140,1906-09-01,66.27,38.43,52.36
141,1906-10-01,51.6,27.73,39.67
142,1906-11-01,34.95,15.78,25.36
143,1906-12-01,33.17,17.04,25.11
144,1907-01-01,17.91,0.39,9.14
145,1907-02-01,36.86,15.6,26.24
146,1907-03-01,38.32,20.64,29.48
147,1907-04-01,44.83,22.14,33.49
148,1907-05-01,51.4,30.78,41.09
149,1907-06-01,60.62,37.85,49.24
150,1907-07-01,72.32,44.69,58.51
151,1907-08-01,71.06,42.26,56.66
152,1907-09-01,61.18,36.52,48.85
153,1907-10-01,55.71,30.69,43.2
154,1907-11-01,37.35,19.53,28.44
155,1907-12-01,29.21,11.41,20.3
156,1908-01-01,30.29,9.48,19.89
157,1908-02-01,33.82,10.06,21.94
158,1908-03-01,35.96,15.06,25.5
159,1908-04-01,52.45,25.14,38.8
160,1908-05-01,52.43,32.29,42.37
161,1908-06-01,59.58,38.55,49.06
162,1908-07-01,75.34,46.56,60.96
163,1908-08-01,68.47,43.0,55.74
164,1908-09-01,64.62,37.45,51.04
165,1908-10-01,45.3,26.51,35.91
166,1908-11-01,37.18,16.99,27.09
167,1908-12-01,24.75,8.28,16.5
168,1909-01-01,24.96,5.61,15.28
169,1909-02-01,30.13,9.14,19.63
170,1909-03-01,36.48,15.3,25.88
171,1909-04-01,40.53,17.38,28.96
172,1909-05-01,52.16,28.69,40.42
173,1909-06-01,65.91,41.34,53.64
174,1909-07-01,75.29,45.88,60.6
175,1909-08-01,75.47,46.9,61.2
176,1909-09-01,60.98,39.29,50.14
177,1909-10-01,51.04,27.07,39.06
178,1909-11-01,37.13,20.39,28.76
179,1909-12-01,16.41,-0.99,7.7
180,1910-01-01,21.45,4.77,13.1
181,1910-02-01,24.12,1.9,13.01
182,1910-03-01,49.44,24.58,37.02
183,1910-04-01,56.46,28.33,42.4
184,1910-05-01,57.65,33.08,45.37
185,1910-06-01,69.49,39.99,54.75
186,1910-07-01,77.09,47.64,62.37
187,1910-08-01,71.56,40.48,56.01
188,1910-09-01,61.93,37.04,49.5
189,1910-10-01,53.83,29.12,41.49
190,1910-11-01,35.82,21.38,28.6
191,1910-12-01,29.03,13.17,21.09
192,1911-01-01,25.74,9.25,17.47
193,1911-02-01,26.6,3.63,15.12
194,1911-03-01,44.13,18.12,31.12
195,1911-04-01,44.94,21.25,33.1
196,1911-05-01,55.02,32.16,43.59
197,1911-06-01,67.77,43.0,55.38
198,1911-07-01,71.69,43.39,57.54
199,1911-08-01,68.95,40.68,54.82
200,1911-09-01,60.67,35.76,48.22
201,1911-10-01,45.09,23.38,34.23
202,1911-11-01,29.37,11.7,20.53
203,1911-12-01,24.55,5.47,15.01
204,1912-01-01,25.3,8.85,17.08
205,1912-02-01,31.3,10.99,21.15
206,1912-03-01,29.16,6.12,17.62
207,1912-04-01,45.46,23.59,34.54
208,1912-05-01,53.28,30.85,42.06
209,1912-06-01,66.67,39.87,53.26
210,1912-07-01,69.24,44.1,56.68
211,1912-08-01,66.38,43.23,54.81
212,1912-09-01,50.4,31.69,41.05
213,1912-10-01,44.28,25.59,34.93
214,1912-11-01,38.62,21.61,30.13
215,1912-12-01,28.63,9.54,19.08
216,1913-01-01,23.83,5.34,14.58
217,1913-02-01,21.88,-0.78,10.54
218,1913-03-01,31.91,10.4,21.15
219,1913-04-01,50.23,23.61,36.91
220,1913-05-01,55.31,33.55,44.44
221,1913-06-01,65.46,42.42,53.94
222,1913-07-01,69.51,44.8,57.16
223,1913-08-01,73.11,46.36,59.74
224,1913-09-01,62.26,36.54,49.41
225,1913-10-01,43.74,23.76,33.75
226,1913-11-01,38.59,19.63,29.1
227,1913-12-01,29.19,4.87,17.02
228,1914-01-01,31.8,12.87,22.32
229,1914-02-01,29.95,8.47,19.2
230,1914-03-01,41.59,14.45,28.02
231,1914-04-01,46.87,25.48,36.18
232,1914-05-01,59.13,33.01,46.08
233,1914-06-01,64.62,39.72,52.18
234,1914-07-01,74.32,46.35,60.35
235,1914-08-01,72.54,42.67,57.61
236,1914-09-01,63.59,35.1,49.35
237,1914-10-01,51.1,29.75,40.42
238,1914-11-01,43.72,17.94,30.83
239,1914-12-01,22.86,2.86,12.85
240,1915-01-01,26.56,8.1,17.31
241,1915-02-01,36.37,14.65,25.52
242,1915-03-01,38.52,16.41,27.46
243,1915-04-01,55.35,31.77,43.57
244,1915-05-01,52.57,32.09,42.33
245,1915-06-01,59.63,35.28,47.46
246,1915-07-01,68.0,41.67,54.84
247,1915-08-01,72.86,43.86,58.37
248,1915-09-01,56.39,35.13,45.77
249,1915-10-01,54.14,29.64,41.9
250,1915-11-01,35.85,19.06,27.45
251,1915-12-01,28.02,11.03,19.53
252,1916-01-01,12.27,-5.1,3.58
253,1916-02-01,31.8,10.98,21.38
254,1916-03-01,41.09,20.7,30.9
255,1916-04-01,47.17,24.1,35.64
256,1916-05-01,49.33,28.71,39.02
257,1916-06-01,62.91,35.42,49.17
258,1916-07-01,76.55,46.26,61.41
259,1916-08-01,70.99,42.3,56.64
260,1916-09-01,62.4,33.76,48.09
261,1916-10-01,43.75,23.45,33.6
262,1916-11-01,31.44,11.01,21.22
263,1916-12-01,17.44,1.67,9.55
264,1917-01-01,20.01,0.61,10.31
265,1917-02-01,25.88,4.75,15.31
266,1917-03-01,26.58,5.7,16.14
267,1917-04-01,39.7,20.03,29.86
268,1917-05-01,49.86,29.98,39.92
269,1917-06-01,63.77,36.25,50.02
270,1917-07-01,78.42,48.29,63.37
271,1917-08-01,70.75,41.9,56.34
272,1917-09-01,62.47,37.42,49.95
273,1917-10-01,48.2,23.85,36.03
274,1917-11-01,43.86,23.7,33.78
275,1917-12-01,29.93,13.87,21.9
276,1918-01-01,22.57,5.0,13.78
277,1918-02-01,27.36,6.85,17.1
278,1918-03-01,43.07,18.03,30.54
279,1918-04-01,39.58,19.56,29.57
280,1918-05-01,52.57,30.0,41.29
281,1918-06-01,70.95,44.47,57.72
282,1918-07-01,70.41,44.87,57.65
283,1918-08-01,69.28,41.27,55.27
284,1918-09-01,59.27,36.28,47.79
285,1918-10-01,51.71,30.51,41.11
286,1918-11-01,33.69,15.96,24.84
287,1918-12-01,29.84,13.03,21.42
288,1919-01-01,31.66,11.62,21.63
289,1919-02-01,28.45,7.16,17.8
290,1919-03-01,39.61,14.32,26.98
291,1919-04-01,49.6,25.61,37.62
292,1919-05-01,60.82,33.76,47.28
293,1919-06-01,75.22,42.66,58.95
294,1919-07-01,79.2,47.05,63.12
295,1919-08-01,75.33,44.69,60.01
296,1919-09-01,62.8,37.98,50.38
297,1919-10-01,38.46,19.29,28.87
298,1919-11-01,30.43,10.49,20.46
299,1919-12-01,21.52,0.27,10.9
300,1920-01-01,29.53,10.27,19.9
301,1920-02-01,31.55,8.49,20.01
302,1920-03-01,33.87,12.04,22.95
303,1920-04-01,38.3,18.66,28.47
304,1920-05-01,53.49,31.39,42.44
305,1920-06-01,63.91,38.19,51.06
306,1920-07-01,75.16,46.08,60.62
307,1920-08-01,72.12,43.81,57.97
308,1920-09-01,61.77,37.38,49.59
309,1920-10-01,46.6,26.96,36.79
310,1920-11-01,31.82,15.67,23.74
311,1920-12-01,26.73,11.75,19.24
312,1921-01-01,30.38,11.25,20.8
313,1921-02-01,35.08,12.87,23.97
314,1921-03-01,38.89,17.62,28.26
315,1921-04-01,44.74,22.24,33.49
316,1921-05-01,54.45,34.5,44.47
317,1921-06-01,70.39,44.24,57.33
318,1921-07-01,77.61,46.74,62.19
319,1921-08-01,73.63,44.46,59.05
320,1921-09-01,58.37,34.12,46.26
321,1921-10-01,56.03,29.61,42.82
322,1921-11-01,36.82,18.52,27.66
323,1921-12-01,27.19,10.13,18.66
324,1922-01-01,18.34,0.21,9.27
325,1922-02-01,21.92,-0.18,10.87
326,1922-03-01,36.39,13.75,25.07
327,1922-04-01,42.6,21.56,32.07
328,1922-05-01,54.72,32.59,43.66
329,1922-06-01,71.46,41.61,56.55
330,1922-07-01,73.4,44.69,59.04
331,1922-08-01,75.04,48.11,61.57
332,1922-09-01,67.71,38.19,52.95
333,1922-10-01,54.16,28.35,41.25
334,1922-11-01,32.59,15.37,23.99
335,1922-12-01,23.72,6.64,15.17
336,1923-01-01,29.57,13.57,21.56
337,1923-02-01,27.3,2.39,14.85
338,1923-03-01,33.84,10.36,22.08
339,1923-04-01,45.03,22.1,33.57
340,1923-05-01,56.17,33.17,44.67
341,1923-06-01,64.31,39.67,52.0
342,1923-07-01,76.5,50.22,63.36
343,1923-08-01,69.85,43.72,56.8
344,1923-09-01,63.23,37.29,50.27
345,1923-10-01,41.45,23.5,32.47
346,1923-11-01,38.8,18.3,28.54
347,1923-12-01,25.7,5.88,15.78
348,1924-01-01,21.13,3.56,12.33
349,1924-02-01,35.67,13.57,24.62
350,1924-03-01,29.05,10.4,19.72
351,1924-04-01,43.88,23.95,33.91
352,1924-05-01,56.32,31.73,44.02
353,1924-06-01,64.02,38.03,51.03
354,1924-07-01,73.38,44.96,59.18
355,1924-08-01,72.82,42.66,57.74
356,1924-09-01,61.45,35.74,48.6
357,1924-10-01,47.3,29.1,38.19
358,1924-11-01,35.37,17.35,26.37
359,1924-12-01,18.28,1.69,9.99
360,1925-01-01,26.46,11.08,18.77
361,1925-02-01,34.84,18.91,26.87
362,1925-03-01,40.57,18.88,29.73
363,1925-04-01,48.15,27.52,37.83
364,1925-05-01,57.76,34.05,45.91
365,1925-06-01,63.28,40.51,51.91
366,1925-07-01,75.67,48.11,61.9
367,1925-08-01,70.92,43.36,57.15
368,1925-09-01,60.39,37.36,48.88
369,1925-10-01,39.22,21.25,30.24
370,1925-11-01,33.66,17.28,25.47
371,1925-12-01,31.44,16.65,24.04
372,1926-01-01,26.96,9.25,18.1
373,1926-02-01,34.65,17.24,25.93
374,1926-03-01,37.15,14.45,25.79
375,1926-04-01,51.31,25.34,38.32
376,1926-05-01,57.33,36.5,46.92
377,1926-06-01,67.24,41.16,54.21
378,1926-07-01,74.62,47.46,61.05
379,1926-08-01,70.41,44.73,57.58
380,1926-09-01,55.13,30.13,42.64
381,1926-10-01,50.38,29.53,39.96
382,1926-11-01,37.71,22.3,29.98
383,1926-12-01,26.46,8.96,17.71
384,1927-01-01,25.47,6.75,16.11
385,1927-02-01,31.59,12.7,22.15
386,1927-03-01,37.22,13.14,25.18
387,1927-04-01,42.94,22.01,32.49
388,1927-05-01,49.33,30.83,40.08
389,1927-06-01,64.29,40.48,52.39
390,1927-07-01,73.47,44.64,59.05
391,1927-08-01,66.25,40.75,53.51
392,1927-09-01,59.05,36.09,47.57
393,1927-10-01,52.0,29.26,40.64
394,1927-11-01,36.21,22.21,29.21
395,1927-12-01,18.86,-0.22,9.32
396,1928-01-01,28.58,11.61,20.08
397,1928-02-01,29.75,5.95,17.85
398,1928-03-01,39.69,15.82,27.75
399,1928-04-01,43.16,20.44,31.8
400,1928-05-01,60.82,36.43,48.63
401,1928-06-01,58.86,37.09,47.98
402,1928-07-01,72.46,45.72,59.09
403,1928-08-01,70.9,40.42,55.67
404,1928-09-01,63.7,34.66,49.19
405,1928-10-01,49.1,27.63,38.37
406,1928-11-01,36.34,18.12,27.23
407,1928-12-01,25.7,7.86,16.77
408,1929-01-01,18.48,-0.36,9.05
409,1929-02-01,20.95,0.12,10.53
410,1929-03-01,35.67,14.94,25.3
411,1929-04-01,41.56,22.1,31.84
412,1929-05-01,53.62,28.27,40.95
413,1929-06-01,64.8,38.95,51.87
414,1929-07-01,76.78,46.65,61.72
415,1929-08-01,76.33,47.62,61.99
416,1929-09-01,55.29,33.85,44.56
417,1929-10-01,52.18,28.04,40.12
418,1929-11-01,29.98,10.35,20.16
419,1929-12-01,30.65,14.72,22.68
420,1930-01-01,12.33,-7.89,2.21
421,1930-02-01,35.67,19.38,27.54
422,1930-03-01,34.65,14.22,24.42
423,1930-04-01,54.36,29.77,42.06
424,1930-05-01,55.38,32.38,43.88
425,1930-06-01,67.24,38.53,52.9
426,1930-07-01,76.19,47.41,61.81
427,1930-08-01,70.75,48.15,59.47
428,1930-09-01,61.81,37.06,49.44
429,1930-10-01,43.66,27.34,35.49
430,1930-11-01,37.89,15.08,26.49
431,1930-12-01,30.18,10.13,20.16
432,1931-01-01,32.58,12.81,22.69
433,1931-02-01,37.63,12.99,25.3
434,1931-03-01,37.22,14.13,25.66
435,1931-04-01,47.26,24.08,35.67
436,1931-05-01,56.64,31.98,44.31
437,1931-06-01,70.56,43.32,56.95
438,1931-07-01,78.24,46.78,62.53
439,1931-08-01,73.87,44.8,59.34
440,1931-09-01,63.01,37.4,50.22
441,1931-10-01,50.34,27.88,39.13
442,1931-11-01,32.79,13.98,23.38
443,1931-12-01,26.96,10.87,18.91
444,1932-01-01,20.91,3.51,12.22
445,1932-02-01,31.3,9.72,20.5
446,1932-03-01,29.57,8.82,19.18
447,1932-04-01,46.58,25.12,35.85
448,1932-05-01,56.01,34.05,45.05
449,1932-06-01,64.65,41.29,52.97
450,1932-07-01,74.34,46.9,60.62
451,1932-08-01,73.87,44.28,59.07
452,1932-09-01,63.93,35.47,49.71
453,1932-10-01,45.7,23.99,34.84
454,1932-11-01,38.89,21.18,30.04
455,1932-12-01,18.9,1.49,10.18
456,1933-01-01,26.64,12.65,19.65
457,1933-02-01,21.49,1.33,11.41
458,1933-03-01,39.43,16.03,27.73
459,1933-04-01,43.99,21.34,32.67
460,1933-05-01,52.56,30.58,41.58
461,1933-06-01,73.51,43.29,58.41
462,1933-07-01,80.19,47.91,64.04
463,1933-08-01,70.75,43.99,57.38
464,1933-09-01,63.82,37.11,50.47
465,1933-10-01,56.12,29.57,42.85
466,1933-11-01,42.1,21.43,31.77
467,1933-12-01,34.52,18.14,26.33
468,1934-01-01,34.56,17.85,26.2
469,1934-02-01,39.06,15.67,27.36
470,1934-03-01,44.67,20.88,32.77
471,1934-04-01,54.91,27.3,41.11
472,1934-05-01,68.18,38.12,53.15
473,1934-06-01,65.98,40.44,53.22
474,1934-07-01,77.04,47.41,62.24
475,1934-08-01,74.01,44.83,59.41
476,1934-09-01,58.3,32.74,45.52
477,1934-10-01,55.36,32.32,43.84
478,1934-11-01,41.97,23.29,32.63
479,1934-12-01,30.13,13.55,21.83
480,1935-01-01,32.52,12.69,22.6
481,1935-02-01,36.77,11.48,24.12
482,1935-03-01,35.74,15.12,25.43
483,1935-04-01,42.93,20.3,31.6
484,1935-05-01,51.26,30.99,41.13
485,1935-06-01,66.42,39.0,52.72
486,1935-07-01,80.64,46.02,63.34
487,1935-08-01,75.16,42.85,59.02
488,1935-09-01,66.42,37.35,51.89
489,1935-10-01,51.19,25.63,38.41
490,1935-11-01,30.18,13.21,21.69
491,1935-12-01,29.82,11.01,20.41
492,1936-01-01,25.32,6.73,16.02
493,1936-02-01,17.28,-3.35,6.96
494,1936-03-01,35.67,13.35,24.51
495,1936-04-01,46.63,22.87,34.75
496,1936-05-01,65.14,35.71,50.43
497,1936-06-01,70.95,43.29,57.11
498,1936-07-01,80.01,52.05,66.04
499,1936-08-01,73.63,46.13,59.88
500,1936-09-01,64.69,34.83,49.77
501,1936-10-01,50.85,27.14,39.0
502,1936-11-01,38.5,14.11,26.29
503,1936-12-01,29.43,12.02,20.71
504,1937-01-01,11.16,-8.77,1.2
505,1937-02-01,28.27,7.92,18.09
506,1937-03-01,37.22,13.84,25.52
507,1937-04-01,46.2,23.11,34.66
508,1937-05-01,61.63,33.82,47.73
