date,dtype,temp
1895-01-01,max,24.96
1895-01-01,avg,14.72
1895-01-01,min,4.48
1895-02-01,max,27.88
1895-02-01,avg,15.06
1895-02-01,min,2.25
1895-03-01,max,35.51
1895-03-01,avg,23.31
1895-03-01,min,11.12
1895-04-01,max,55.49
1895-04-01,avg,40.86
1895-04-01,min,26.22
1895-05-01,max,57.78
1895-05-01,avg,44.82
1895-05-01,min,31.86
1895-06-01,max,61.16
1895-06-01,avg,48.7
1895-06-01,min,36.25
1895-07-01,max,71.82
1895-07-01,avg,57.42
1895-07-01,min,43.02
1895-08-01,max,72.84
1895-08-01,avg,58.19
1895-08-01,min,43.54
1895-09-01,max,60.75
1895-09-01,avg,47.62
1895-09-01,min,34.5
1895-10-01,max,53.69
1895-10-01,avg,40.41
1895-10-01,min,27.12
1895-11-01,max,35.69
1895-11-01,avg,25.03
1895-11-01,min,14.4
1895-12-01,max,26.87
1895-12-01,avg,17.65
1895-12-01,min,8.44
1896-01-01,max,31.26
1896-01-01,avg,20.41
1896-01-01,min,9.57
1896-02-01,max,37.78
1896-02-01,avg,26.46
1896-02-01,min,15.15
1896-03-01,max,34.07
1896-03-01,avg,22.39
1896-03-01,min,10.71
1896-04-01,max,44.98
1896-04-01,avg,33.26
1896-04-01,min,21.54
1896-05-01,max,50.85
1896-05-01,avg,40.86
1896-05-01,min,30.85
1896-06-01,max,72.19
1896-06-01,avg,55.96
1896-06-01,min,39.7
1896-07-01,max,73.76
1896-07-01,avg,60.82
1896-07-01,min,47.86
1896-08-01,max,72.12
1896-08-01,avg,58.03
1896-08-01,min,43.92
1896-09-01,max,57.15
1896-09-01,avg,46.31
1896-09-01,min,35.47
1896-10-01,max,52.2
1896-10-01,avg,39.51
1896-10-01,min,26.83
1896-11-01,max,23.4
1896-11-01,avg,14.47
1896-11-01,min,5.58
1896-12-01,max,37.27
1896-12-01,avg,28.4
1896-12-01,min,19.53
1897-01-01,max,29.66
1897-01-01,avg,17.37
1897-01-01,min,5.09
1897-02-01,max,29.64
1897-02-01,avg,19.17
1897-02-01,min,8.69
1897-03-01,max,28.72
1897-03-01,avg,17.38
1897-03-01,min,6.06
1897-04-01,max,47.17
1897-04-01,avg,36.14
1897-04-01,min,25.11
1897-05-01,max,64.49
1897-05-01,avg,50.36
1897-05-01,min,36.23
1897-06-01,max,63.23
1897-06-01,avg,51.4
1897-06-01,min,39.56
1897-07-01,max,70.12
1897-07-01,avg,56.5
1897-07-01,min,42.84
1897-08-01,max,72.63
1897-08-01,avg,58.62
1897-08-01,min,44.62
1897-09-01,max,66.13
1897-09-01,avg,52.39
1897-09-01,min,38.66
1897-10-01,max,47.19
1897-10-01,avg,38.12
1897-10-01,min,29.03
1897-11-01,max,33.24
1897-11-01,avg,24.57
1897-11-01,min,15.89
1897-12-01,max,24.42
1897-12-01,avg,17.13
1897-12-01,min,9.84
1898-01-01,max,20.93
1898-01-01,avg,12.6
1898-01-01,min,4.26
1898-02-01,max,36.0
1898-02-01,avg,24.6
1898-02-01,min,13.21
1898-03-01,max,30.72
1898-03-01,avg,18.54
1898-03-01,min,6.35
1898-04-01,max,50.59
1898-04-01,avg,37.85
1898-04-01,min,25.09
1898-05-01,max,51.98
